亚科,亚科,genus,url,species,url url,fenbudi,description
蚁亚科蚂蚁,Formicinae,蚁属,Formica,黑褐蚁,Formica gagates,中国宁夏（六盘山）、新疆（乌鲁木齐）、黑龙江；法国，波兰，南欧，俄罗斯西伯利亚地区。,
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,几内亚铺道蚁,Tetramorium guineense,中国福建、广东、广西、湖南、江苏、台湾；古巴，加拿大，库克群岛，新几内亚，中非共和国，刚果民主共和国，几内亚，尼日利亚，塞内加尔。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,吉上瘤颚蚁,Strumigenys kichijo,中国湖南、福建、台湾、云南（西双版纳）；不丹，泰国，日本，越南。,
切叶蚁亚科蚂蚁,Myrmicinae,刺切叶蚁属,Acanthomyrmex,无角窝刺切叶蚁,Acanthomyrmex careoscrobis,婆罗洲，印度尼西亚，马来西亚。,种小名“careoscrobis”是由“careo”+“scrobis”组成，意为“缺少触角窝”，指的是这种蚂蚁触角窝缺失的特点，故而译为“无角窝刺切叶蚁”。
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,难辨铺道蚁,Tetramorium difficile,中国云南（西双版纳）；越南，不丹，尼泊尔。,种小名“difficile”意为“困难的”，指的是本种与汤加铺道蚁（Tetramorium tonganum）极为相似，难以鉴别。故而译为“难辨铺道蚁”。
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,黑头弓背蚁,Camponotus nigriceps,澳大利亚。,种小名“nigriceps”是由“nigeri；黑色的”+“ceps；头”组成的，故而译为“黑头弓背蚁”。
切叶蚁亚科蚂蚁,Myrmicinae,切叶蚁属,Myrmecina,开公切叶蚁,Myrmecina kaigong,中国台湾。,
蚁亚科蚂蚁,Formicinae,刺结蚁属,Lepisiota,西昌刺结蚁,Lepisiota xichangensis,中国广西（龙胜、花坪、资源、三江、弄岗）、四川（西昌、川西南高原域）、福建（龙岩）、广东（乳源、平远）。,本种与开普刺结蚁相似，但体较短，头不光亮，并腹胸侧板有纵刻纹，结节上为两短刺。
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,蒙古切胸蚁,Temnothorax mongolicus,中国河北；俄罗斯，蒙古，朝鲜。,
细蚁亚科蚂蚁,Leptanillinae,细蚁属,Leptanilla,昆明细蚁,Leptanilla kunmingensis,中国云南（昆明）。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,台湾大头蚁,Pheidole taivanensis,中国台湾；泰国。,
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,凯沛铺道蚁,Tetramorium kheperra,中国香港、云南（西双版纳）、西藏（喜马拉雅山（珠峰段））；菲律宾，马来西亚半岛，缅甸，泰国，越南，婆罗洲，小巽他群岛，印度尼西亚，澳大利亚，英国。,《中国蚁科昆虫名录——切叶蚁亚科（Ⅲ）》中将凯沛铺道蚁学名的种小名错拼为了“kheperrum”。
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,长刺切胸蚁,Temnothorax spinosior,中国北京、河北、河南、黑龙江、广西、湖南、湖北、安徽、浙江、广东（始兴、南岭）、陕西、重庆（大巴山）、宁夏、山东、；日本，朝鲜。,
切叶蚁亚科蚂蚁,Myrmicinae,刺切叶蚁属,Acanthomyrmex,杜顺刺切叶蚁,Acanthomyrmex dusun,婆罗洲，印度尼西亚，马来西亚。,种小名“dusun”是一个名词，指的是生活在马来西亚的“杜顺”族人，故而译为“杜顺刺切叶蚁”。
猛蚁亚科蚂蚁,Ponerinae,细颚猛蚁属,Leptogenys,孔子细颚猛蚁,Leptogenys confucii,中国台湾（台东、南投）；日本。,
猛蚁亚科蚂蚁,Ponerinae,姬猛蚁属,Hypoponera,邵氏姬猛蚁,Hypoponera sauteri,中国云南（西双版纳、昆明、云岭东坡、迪庆）、安徽、台湾（台东、南投）、广东（惠东、广州、始兴）、湖南（江永、宁远、武冈、安化、通道、凤凰、沅陵、永顺、桑植、张家界、石门、桃源、常德、浏阳、宜章、桂东、炎陵）、湖北（来凤、鹤峰、宜昌、长阳）、河南（公鸡山、辉县）、贵州（梵净山）、陕西（佛坪）、广西（金钟山）；日本，朝鲜半岛。,体长2.0-2.5mm，体黄色至黄褐色。
细蚁亚科蚂蚁,Leptanillinae,细蚁属,Leptanilla,日本细蚁,Leptanilla japonica,中国香港；日本（本州）。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,满茸弓背蚁,Camponotus suffusus,澳大利亚。,种小名“suffusus”意为“弥漫的，布满的”，指的是这种弓背蚁全是布满细小茸毛的特点，故而译为“满茸弓背蚁”。
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,洛厄里弓背蚁,Camponotus loweryi,澳大利亚。,种小名“loweryi”是一个英文姓氏，中文译为“洛厄里”，故而译为“洛厄里弓背蚁”。
