"ID","种","属","亚科","描述","分布"
"1","追踪火蚁Solenopsis indagatrix","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","追踪火蚁的模式产地位于中国。 工蚁单型，体长小于2.2mm。头近长方形，小而窄；头顶缘不凹陷，近平直。","中国北京、福建（福州）、湖南（岳麓山）、山东（青岛）、台湾、新疆（哈密）。"
"2","岩栖弓背蚁Camponotus saxatilis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","周善义在 2001 年描述定名Camponotus auratiacus时，把这种蚂蚁命名为了“黄毛弓背蚁”。而 Camponotus saxatilis虽然国外学者早在 1895 年就命名了，但国内到 2004 年才有记录，在 2004 年的《新疆蚁科昆虫42种中国新记录》作者把Camponotus saxatilis也译为了“黄毛弓背蚁”。根据定名先后规则，将Camponotus saxatilis译为“黄毛弓背蚁”无效。根据本种拉丁语“saxatilis”是“that lives amongst rocks”的意思，将其改名为“岩栖弓背蚁”。 致谢：感谢郭雄峰对本词条的贡献。","中国新疆（富蕴、青河、北屯、福海）；俄罗斯（欧洲部分东部、东南部），日本，蒙古，朝鲜。"
"3","杨氏双节行军蚁Aenictus yangi","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","种小名是用中国科学院西双版纳热带植物园知识创新基地首席研究员杨大荣的姓氏命名的。 故而译为“杨氏双节行军蚁”。","中国云南（西双版纳）。"
"4","大和盲切叶蚁Carebara yamatonis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“yamatonis”是一个日本姓氏，中文译为“大和”，故而译为“大和盲切叶蚁”。 大和盲切叶蚁的模式产地位于日本。 兵蚁体长2.3mm。工蚁体长0.9mm。","中国湖北、湖南；日本。"
"5","寡脊红蚁Myrmicaria vidua","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“vidua”意为“widow；寡妇”，故而译为“寡脊红蚁”。","中国广西；印度尼西亚，泰国，越南。"
"6","甲壳隐猛蚁Cryptopone testacea","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","种小名“testacea”意为“有甲壳的，有壳盖住的”，故而译为“甲壳隐猛蚁”。","中国安徽、福建、云南、台湾；印度，斯里兰卡，越南，马达加斯加，婆罗洲，印度尼西亚，马来西亚，密克罗尼西亚，新几内亚，帕劳，菲律宾，萨摩亚，所罗门群岛，新喀里多尼亚。"
"7","丹戎大头蚁Pheidole tandjongensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“tandjongensis”指的是其最初的发现地，位于印度尼西亚的苏门答腊岛的“丹戎”。故而译为“丹戎大头蚁”。 曾发现其与争吵大齿猛蚁（Odontomachus rixosus）同巢而居。","中国云南；柬埔寨，泰国，越南，印度尼西亚。"
"8","西姆森弓背蚁Camponotus siemsseni","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","种小名“siemsseni”是一个姓氏，中文译为“西姆森”。 早期仅在我国台湾发现，所以沿用台湾译名“希氏弓背蚁”。但之后在大陆的云南和西藏相继发现其分布，故而选用这个姓氏的正式中文翻译，即“西姆森弓背蚁”。","中国台湾（高雄、大林、kankau、Alikang、Hoti）、云南（云岭）、西藏（喜马拉雅山（亚东段））、四川；苏门答腊。"
"9","坂本盲切叶蚁Carebara sakamotoi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“sakamotoi”是一个日本姓氏，中文译为“坂本”，故而译为“坂本盲切叶蚁”。 坂本盲切叶蚁的模式产地位于中国台湾。 兵蚁体长2.8mm。工蚁体长1.1mm。","中国台湾。"
"10","皱头切胸蚁Temnothorax ruginosus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“ruginosus”意为“起皱的”，指的是其头部背面具皱状刻纹的特点，故而译为“皱头切胸蚁”。","中国湖南（江永、常德）、贵州、浙江。"
