亚目,总科,科,亚科,属,种,种拉丁名,备注
均翅亚目,蟌总科,蟌科,,狭翅蟌属,灰蓝狭翅蟌,"Aciagrion approximans (Selys, 1876)",
均翅亚目,蟌总科,蟌科,,狭翅蟌属,针尾狭翅蟌,"Aciagrion migratum (Selys,1876)",
均翅亚目,蟌总科,蟌科,,狭翅蟌属,蓝尾狭翅蟌,"Aciagrion olympicum Laidlaw, 1919",
均翅亚目,蟌总科,蟌科,,狭翅蟌属,森狭翅蟌,"Aciagrion pallidum Selys, 1891",
均翅亚目,蟌总科,蟌科,,小蟌属,克氏小蟌,"Agriocnemis clauseni Fraser, 1922",
均翅亚目,蟌总科,蟌科,,小蟌属,杯斑小蟌,"Agriocnemis femina (Brauer, 1868)",
均翅亚目,蟌总科,蟌科,,小蟌属,黄腹小蟌,"Agriocnemis minima Selys, 1877",
均翅亚目,蟌总科,蟌科,,小蟌属,黄尾小蟌,"Agriocnemis pygmaea (Rambur, 1842)",
均翅亚目,蟌总科,蟌科,,小蟌属,白腹小蟌,"Agriocnemis lacteola Selys, 1877",蛇斑小蟌种团naia
均翅亚目,蟌总科,蟌科,,小蟌属,黑尾小蟌,"Agriocnemis naia Fraser, 1923",蛇斑小蟌种团naia
均翅亚目,蟌总科,蟌科,,小蟌属,樽斑小蟌,"Agriocnemis nana Laidlaw, 1914",蛇斑小蟌种团naia
均翅亚目,蟌总科,蟌科,,安蟌属,天蓝安蟌,"Amphiallagma parvum (Selys, 1876)",
均翅亚目,蟌总科,蟌科,,黑蟌属,蓝唇黑蟌,"Argiocnemis rubescens Selys, 1877",
均翅亚目,蟌总科,蟌科,,黄蟌属,翠胸黄蟌,"Ceriagrion auranticum Fraser, 1922",
均翅亚目,蟌总科,蟌科,,黄蟌属,天蓝黄蟌,"Ceriagrion azureum (Selys, 1891)",
均翅亚目,蟌总科,蟌科,,黄蟌属,女神黄蟌,"Ceriagrion bellona Laidlaw, 1915",
均翅亚目,蟌总科,蟌科,,黄蟌属,赵氏黄蟌,"Ceriagrion chaoi Schmidt, 1964",
均翅亚目,蟌总科,蟌科,,黄蟌属,园尾黄蟌,"Ceriagrion coromandelianum (Fabricius, 1798)",
均翅亚目,蟌总科,蟌科,,黄蟌属,长尾黄蟌,"Ceriagrion fallax Ris, 1914",
均翅亚目,蟌总科,蟌科,,黄蟌属,柠檬黄蟌,"Ceriagrion indochinense Asahina, 1967",
均翅亚目,蟌总科,蟌科,,黄蟌属,短尾黄蟌,"Ceriagrion melanurum Selys, 1876",
均翅亚目,蟌总科,蟌科,,黄蟌属,赤黄蟌,"Ceriagrion nipponicum Asahina, 1967",
均翅亚目,蟌总科,蟌科,,黄蟌属,钩尾黄蟌,"Ceriagrion olivaceum Laidlaw, 1914",
均翅亚目,蟌总科,蟌科,,黄蟌属,褐尾黄蟌,"Ceriagrion rubiae Laidlaw, 1916",
均翅亚目,蟌总科,蟌科,,黄蟌属,中国黄蟌,"Ceriagrion sinense Asahina, 1967",
均翅亚目,蟌总科,蟌科,,蟌属,多棘蟌,"Coenagrion aculeatum Yu and Bu, 2007",
均翅亚目,蟌总科,蟌科,,蟌属,铠甲蟌,"Coenagrion armatum (Charpentier, 1840)",
均翅亚目,蟌总科,蟌科,,蟌属,盃纹蟌,"Coenagrion ecornutum (Selys, 1872)",
均翅亚目,蟌总科,蟌科,,蟌属,腾冲蟌,"Coenagrion exclamationis (Fraser, 1919)",
均翅亚目,蟌总科,蟌科,,蟌属,框纹蟌,"Coenagrion glaciale (Selys, 1872)",
均翅亚目,蟌总科,蟌科,,蟌属,三纹蟌,"Coenagrion hastulatum (Charpentier, 1825)",
均翅亚目,蟌总科,蟌科,,蟌属,叶纹蟌,"Coenagrion holdereri (Forster, 1900)",
均翅亚目,蟌总科,蟌科,,蟌属,黑格蟌,"Coenagrion hylas (Trybom, 1889)",
均翅亚目,蟌总科,蟌科,,蟌属,纤腹蟌,"Coenagrion johanssoni (Wallengren, 1894)",
均翅亚目,蟌总科,蟌科,,蟌属,矛斑蟌,"Coenagrion lanceolatum (Selys, 1872)",
均翅亚目,蟌总科,蟌科,,蟌属,月斑蟌,"Coenagrion lunulatum (Charpentier, 1840)",
均翅亚目,蟌总科,蟌科,,绿蟌属,心斑绿蟌,"Enallagma cyathigerum (Charpentier, 1840)",
均翅亚目,蟌总科,蟌科,,红眼蟌属,红眼蟌,"Erythromma najas (Hansemann, 1823)",
均翅亚目,蟌总科,蟌科,,异痣蟌属,东亚异痣蟌,"Ischnura asiatica (Brauer, 1865)",
均翅亚目,蟌总科,蟌科,,异痣蟌属,黄腹异痣蟌,"Ischnura aurora (Brauer, 1865)",
均翅亚目,蟌总科,蟌科,,异痣蟌属,长叶异痣蟌,"Ischnura elegans (Vander Linden, 1823)",
均翅亚目,蟌总科,蟌科,,异痣蟌属,埃文异痣蟌,"Ischnura evansi Morton, 1919",
均翅亚目,蟌总科,蟌科,,异痣蟌属,水源异痣蟌,"Ischnura fountaineae Morton, 1905",
均翅亚目,蟌总科,蟌科,,异痣蟌属,蓝壮异痣蟌,"Ischnura pumilio (Charpentier, 1825)",
均翅亚目,蟌总科,蟌科,,异痣蟌属,赤斑异痣蟌,"Ischnura rufostigma Selys, 1876",
均翅亚目,蟌总科,蟌科,,异痣蟌属,褐斑异痣蟌,"Ischnura senegalensis (Rambur, 1842)",
均翅亚目,蟌总科,蟌科,,妹蟌属,蓝尾妹蟌,"Mortonagrion aborense (Laidlaw, 1914)",
均翅亚目,蟌总科,蟌科,,妹蟌属,广濑妹蟌,"Mortonagrion hirosei Asahina, 1972",
均翅亚目,蟌总科,蟌科,,妹蟌属,钩斑妹蟌,"Mortonagrion selenion (Ris, 1916)",
均翅亚目,蟌总科,蟌科,,绿背蟌属,黑面绿背蟌,"Nehalennia speciosa (Charpentier, 1840)",
均翅亚目,蟌总科,蟌科,,尾蟌属,挫齿尾蟌,"Paracercion barbatum (Needham,1930)",
均翅亚目,蟌总科,蟌科,,尾蟌属,蓝纹尾蟌,"Paracercion calamorum (Ris, 1916)",
均翅亚目,蟌总科,蟌科,,尾蟌属,钳尾蟌,"Paracercion dorothea (Fraser, 1924)",
均翅亚目,蟌总科,蟌科,,尾蟌属,隼尾蟌,"Paracercion hieroglyphicum (Brauer, 1865)",
均翅亚目,蟌总科,蟌科,,尾蟌属,蓝面尾蟌,"Paracercion melanotum (Selys, 1876)",
均翅亚目,蟌总科,蟌科,,尾蟌属,七条尾蟌,"Paracercion plagiosum (Needham, 1930)",
均翅亚目,蟌总科,蟌科,,尾蟌属,捷尾蟌,"Paracercion v-nigrum (Needham, 1930)",
均翅亚目,蟌总科,蟌科,,斑蟌属,亚澳斑蟌,"Pseudagrion australasiae Selys, 1876",
均翅亚目,蟌总科,蟌科,,斑蟌属,大斑蟌,"Pseudagrion decorum (Rambur, 1842)",
均翅亚目,蟌总科,蟌科,,斑蟌属,绿斑蟌,"Pseudagrion microcephalum (Rambur, 1842)",
均翅亚目,蟌总科,蟌科,,斑蟌属,红玉斑蟌,"Pseudagrion pilidorsum (Brauer, 1868)",
