门,纲,目,科,种,学名,保护级别,备注
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　懒猴科,　　蜂猴,Nycticebus bengalensis,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　懒猴科,　　倭蜂猴,Nycticebus pygmaeus,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　短尾猴,Macaca arctoides,二级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　熊猴,Macaca assamensis,二级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　台湾猴,Macaca cyclopis,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　北豚尾猴,Macaca leonina,一级,原名“豚尾猴”
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　白颊猕猴,Macaca leucogenys,二级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　猕猴,Macaca mulatta,二级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　藏南猕猴,Macaca munzala,二级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　藏酋猴,Macaca thibetana,二级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　喜山长尾叶猴,Semnopithecus schistaceus,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　印支灰叶猴,Trachypithecus crepusculus,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　黑叶猴,Trachypithecus francoisi,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　菲氏叶猴,Trachypithecus phayrei,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　戴帽叶猴,Trachypithecus pileatus ,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　白头叶猴,Trachypithecus leucocephalus,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　肖氏乌叶猴,Trachypithecus shortridgei,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　滇金丝猴,Rhinopithecus bieti,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　黔金丝猴,Rhinopithecus brelichi,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　川金丝猴,Rhinopithecus roxellana,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　猴科,　　怒江金丝猴,Rhinopithecus strykeri,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　长臂猿科,　　西白眉长臂猿,Hoolock hoolock,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　长臂猿科,　　东白眉长臂猿,Hoolock leuconedys,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　长臂猿科,　　高黎贡白眉长臂猿,Hoolock tianxing,一级,
脊索动物门 CHORDATA,哺乳纲 MAMMALIA,灵长目#,　长臂猿科,　　白掌长臂猿,Hylobates lar,一级,
